from,site,path,target,proposed because,link texts,linked from
en,en,/4e580ac7457847ae861a43ebad4e3a88,https://micm.gob.do/transparencia/images/pdf/transparencia/base-legal-de-la-institucion/leyes/LEY_488-08_MIPYMES.pdf,reviewed,https://www.notion.so/4e580ac7457847ae861a43ebad4e3a88?v=880e1e214aa94243925c9fb0bbc8cde8&p=701c735d66564156b2133383d0d9ec5f,/resource-directory /resource-directory/resource-directory /resource-directory/rgimen-regulatorio-para-el-desarrollo-y-competitividad-de-las-micro-pequeas-y-medianas-empresas-mipymes
en,en,/build-support-and-capacity,/build-support-and-capabilities,link text is its title,Build support and capabilities,/plan /plan/click-through-to-learn-more
en,en,/establish-a-framework,/establish-an-enabling-environment,link text is its title,Establish an enabling environment,/plan /plan/click-through-to-learn-more
en,en,/get-started,/plan,reviewed,first section of the toolkit,/create-an-action-plan
en,en,/get-started/build-support-and-capacity,/build-support-and-capabilities,the English versions of Spanish or French pages with this link link to this target instead,catalogs | previously mentioned | this section.,/choose-a-procurement-method /create-an-action-plan /monitor-implementation
en,en,/get-started/establish-a-framework,/establish-an-enabling-environment,link text is its title,Establish an enabling environment | cette section | environnement habilitant | l’analyse de l’environnement habilitant | l’environnement habilitant | this section | this section.,/create-an-action-plan /set-sustainability-criteria
en,en,/get-started/identify-your-goals,/monitoring-evaluation,the English versions of Spanish or French pages with this link link to this target instead,Measuring and evaluation (M&E) framework,/open-data-measuring-progress
en,en,/get-started/identify-your-goals/goals-outcomes-and-indicators-gois,/monitoring-evaluation,reviewed,introduced a M&E framework | introduced an M&E Framework | introduced an M&E framework,/carbon-reduction /gender-inclusion /life-cycle-costing /spp-uptake
en,en,/identify-your-goals,/monitoring-evaluation,link text is its title,Monitoring & evaluation,/plan /plan/click-through-to-learn-more
en,en,/implement/set-sustainable-criteria,/set-sustainability-criteria,link text is its title,Set sustainability criteria | au processus de passation de marchés | cette section | esta sección | included in procurement processes | les exigences que vous établirez | les normes de durabilité qui doivent être intégrées aux processus de passation de marchés | section précédente | what sustainability standards should be recommended for procurement processes. | « Définir des critères de durabilité,/build-support-and-capabilities /establish-an-enabling-environment
en,en,/options-for-data-use/use-cases/gender-equality,/gender-inclusion,link text is its title,Gender inclusion,/open-data-measuring-progress /open-data-measuring-progress/click-through-to-learn-more
en,en,/set-sustainable-criteria,/set-sustainability-criteria,link text is its title,Set sustainability criteria,/implement-1 /implement-1/click-through-to-learn-more
en,en,/what-is-spp-and-open-spp,/what-is-open-spp,the English versions of Spanish or French pages with this link link to this target instead,Open SPP | at the start of the toolkit,/monitor-implementation /open-data-measuring-progress
es,en,/get-started/build-support-and-capacity,/establezca-mecanismos-de-apoyo,reviewed,esta sección,/preguntas-frecuentes
es,en,/get-started/establish-a-framework/quick-checklist-evaluate-your-enabling-framework,/establezca-un-entorno-habilitante/lista-de-chequeo-rpido-evale-su-entorno-habilitante,"English version /open-spp-faqs (score 11.5) links to /establish-an-enabling-environment/quick-checklist-evaluate-your-enabling-environment here, whose version is /establezca-un-entorno-habilitante/lista-de-chequeo-rpido-evale-su-entorno-habilitante (score 7.0)",esta sección | lista de verificación,/preguntas-frecuentes
es,en,/implement/set-sustainable-criteria,/establezca-criterios-de-sostenibilidad,"English version /guide-to-ecolabels (score 11.12) links to /set-sustainability-criteria here, whose version is /establezca-criterios-de-sostenibilidad (score 8.74)",esta sección,/guas-para-las-ecoetiquetas
es,en,/what-is-spp-and-open-spp,/qu-es,"English version /open-spp-faqs (score 11.5) links to /what-is-open-spp here, whose version is /qu-es (score 6.67)",esta sección | primera sección,/preguntas-frecuentes
